Address_Line1,Address_Line2,City,Company,Contact,Country,Full_Time_Employees,Industry,Sector,State,Ticker,Website,Zipcode
130 Royall Street, ,Canton,Devon Energy,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,DVN,http://www.dunkinbrands.com,02021
1111 Bagby Street,Sky Lobby 2,Houston,EOG Resources,713 651 7000,United States,"2,900",Oil & Gas E&P,Energy,TX,EOG,http://www.eogresources.com,77002
5555 San Felipe Street, ,Houston,Marathon Oil Corp.,713 629 6600,United States,"2,000",Oil & Gas E&P,Energy,TX,MRO,http://www.marathonoil.com,77056-2723
Three Memorial City Plaza,Suite 1400 840 Gessner Road,Houston,Cabot Oil & Gas,281 589 4600,United States,547,Oil & Gas E&P,Energy,TX,COG,http://www.cabotog.com,77024
777 Hidden Ridge, ,Irving,Pioneer Natural Resources,972 444 9001,United States,"2,323",Oil & Gas E&P,Energy,TX,PXD,http://www.pxd.com,75039
One Post Oak Central,Suite 100 2000 Post Oak Boulevard,Houston,Apache Corporation,713 296 6000,United States,"3,163",Oil & Gas E&P,Energy,TX,APA,http://www.apachecorp.com,77056
5 Greenway Plaza,Suite 110,Houston,Occidental Petroleum,713 215 7000,United States,"14,400",Oil & Gas E&P,Energy,TX,OXY,http://www.oxy.com,77046-0521
130 Royall Street, ,Canton,Concho Resources,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,CXO,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Marathon Petroleum,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,MPC,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,HollyFrontier Corp,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,HFC,http://www.dunkinbrands.com,02021
One Valero Way, ,San Antonio,Valero Energy,210 345 2000,United States,"10,222",Oil & Gas Refining & Marketing,Energy,TX,VLO,http://www.valero.com,78249
2331 CityWest Boulevard, ,Houston,Phillips 66,281 293 6600,United States,"14,500",Oil & Gas Refining & Marketing,Energy,TX,PSX,http://www.phillips66.com,77042
130 Royall Street, ,Canton,Kinder Morgan,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,KMI,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,ONEOK,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,OKE,http://www.dunkinbrands.com,02021
One Williams Center,Suite 4700,Tulsa,Williams Companies,918-573-2000,United States,"4,812",Oil & Gas Midstream,Energy,OK,WMB,http://co.williams.com,74172
130 Royall Street, ,Canton,McCormick & Co.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,MKC,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,JM Smucker,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,SJM,http://www.dunkinbrands.com,02021
1 Campbell Place, ,Camden,Campbell Soup,856 342 4800,United States,"14,500",Packaged Foods,Consumer Defensive,NJ,CPB,http://www.campbellsoupcompany.com,08103-1799
130 Royall Street, ,Canton,Mondelez International,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,MDLZ,http://www.dunkinbrands.com,02021
222 West Merchandise Mart Plaza,Suite 1300,Chicago,Conagra Brands,312 549 5000,United States,"16,500",Packaged Foods,Consumer Defensive,IL,CAG,http://www.conagrabrands.com,60654
130 Royall Street, ,Canton,Tyson Foods,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,TSN,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Kraft Heinz Co,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,KHC,http://www.dunkinbrands.com,02021
1 Hormel Place, ,Austin,Hormel Foods Corp.,507 437 5611,United States,"18,700",Packaged Foods,Consumer Defensive,MN,HRL,http://www.hormelfoods.com,55912
One Kellogg Square, ,Battle Creek,Kellogg Co.,269-961-2000,United States,"31,000",Packaged Foods,Consumer Defensive,MI,K,http://www.kelloggcompany.com,49016-3599
Number One General Mills Boulevard, ,Minneapolis,General Mills,763 764 7600,United States,"35,000",Packaged Foods,Consumer Defensive,MN,GIS,http://www.generalmills.com,55426
19 East Chocolate Avenue, ,Hershey,The Hershey Company,717 534 4200,United States,"14,520",Confectioners,Consumer Defensive,PA,HSY,http://www.thehersheycompany.com,17033
599 South Rivershore Lane, ,Eagle,Lamb Weston Holdings Inc,208 938 1047,United States,"7,700",Packaged Foods,Consumer Defensive,ID,LW,http://www.lambweston.com,83616
2415 Cascade Pointe Boulevard, ,Charlotte,Sealed Air,980 221 3235,United States,"16,500",Packaging & Containers,Consumer Cyclical,NC,SEE,http://www.sealedair.com,28208
130 Royall Street, ,Canton,WestRock,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,WRK,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Amcor plc,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,AMCR,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Avery Dennison Corp,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,AVY,http://www.dunkinbrands.com,02021
6400 Poplar Avenue, ,Memphis,International Paper,901-419-9000,United States,"50,000",Packaging & Containers,Consumer Cyclical,TN,IP,http://www.internationalpaper.com,38197
1 North Field Court, ,Lake Forest,Packaging Corporation of America,847-482-3000,United States,"15,500",Packaging & Containers,Consumer Cyclical,IL,PKG,http://www.packagingcorp.com,60045
One Procter & Gamble Plaza, ,Cincinnati,Procter & Gamble,513 983 1100,United States,"99,000",Household & Personal Products,Consumer Defensive,OH,PG,http://www.pginvestor.com,45202
767 Fifth Avenue, ,New York,Estée Lauder Companies,212 572 4200,United States,"48,000",Household & Personal Products,Consumer Defensive,NY,EL,http://www.elcompanies.com,10153
1 North Waukegan Road, ,North Chicago,AbbVie Inc.,847 932 7900,United States,"47,000",Drug Manufacturers—General,Healthcare,IL,ABBV,http://www.abbvie.com,60064
One Johnson & Johnson Plaza, ,New Brunswick,Johnson & Johnson,732 524 0400,United States,"132,200",Drug Manufacturers—General,Healthcare,NJ,JNJ,http://www.jnj.com,08933
Lilly Corporate Center, ,Indianapolis,Lilly (Eli) & Co.,317 276 2000,United States,"34,720",Drug Manufacturers—General,Healthcare,IN,LLY,http://www.lilly.com,46285
2000 Galloping Hill Road, ,Kenilworth,Merck & Co.,908 740 4000,United States,"71,000",Drug Manufacturers—General,Healthcare,NJ,MRK,http://www.merck.com,07033
130 Royall Street, ,Canton,Mylan N.V.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,MYL,http://www.dunkinbrands.com,02021
14 Schoolhouse Road, ,Somerset,Catalent,732 537 6200,United States,"13,900",Drug Manufacturers—Specialty & Generic,Healthcare,NJ,CTLT,http://www.catalent.com,08873
130 Royall Street, ,Canton,Pfizer Inc.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,PFE,http://www.dunkinbrands.com,02021
10 Sylvan Way, ,Parsippany,Zoetis,973 822 7000,United States,"10,600",Drug Manufacturers—Specialty & Generic,Healthcare,NJ,ZTS,http://www.zoetis.com,07054
485 Lexington Avenue, ,New York,The Travelers Companies Inc.,917-778-6000,United States,"30,800",Insurance—Property & Casualty,Financial Services,NY,TRV,http://www.travelers.com,10017
175 Water Street, ,New York,American International Group,212-770-7000,United States,"46,000",Insurance—Diversified,Financial Services,NY,AIG,http://www.aig.com,10038
6300 Wilson Mills Road, ,Mayfield,Progressive Corp.,440-461-5000,United States,"41,571",Insurance—Property & Casualty,Financial Services,OH,PGR,http://www.progressive.com,44143
130 Royall Street, ,Canton,W. R. Berkley Corporation,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,WRB,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Hartford Financial Svc.Gp.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,HIG,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Cincinnati Financial,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,CINF,http://www.dunkinbrands.com,02021
2775 Sanders Road, ,Northbrook,Allstate Corp,847-402-5000,United States,"45,780",Insurance—Property & Casualty,Financial Services,IL,ALL,http://www.allstate.com,60062-6127
130 Royall Street, ,Canton,Chubb Limited,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,CB,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,News Corp. Class A,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,NWSA,http://www.dunkinbrands.com,02021
1211 Avenue of the Americas, ,New York,News Corp. Class B,212-416-3400,United States,"23,500",Broadcasting,Communication Services,NY,NWS,http://newscorp.com,10036
130 Royall Street, ,Canton,Union Pacific Corp,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,UNP,http://www.dunkinbrands.com,02021
Three Commercial Place, ,Norfolk,Norfolk Southern Corp.,757 629 2680,United States,"24,587",Railroads,Industrials,VA,NSC,http://www.norfolksouthern.com,23510-2191
130 Royall Street, ,Canton,CSX Corp.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,CSX,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Kansas City Southern,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,KSU,http://www.dunkinbrands.com,02021
400 South Hope Street,25th Floor,Los Angeles,CBRE Group,213-613-3333,United States,"100,000",Real Estate Services,Real Estate,CA,CBRE,http://www.cbre.com,90071
Huntington Center,41 South High Street,Columbus,Huntington Bancshares,614-480-2265,United States,"15,680",Banks—Regional,Financial Services,OH,HBAN,http://www.huntington.com,43287
Key Tower,127 Public Square,Cleveland,KeyCorp,216-689-3000,United States,"16,758",Banks—Regional,Financial Services,OH,KEY,http://www.key.com,44114-1306
214 North Tryon Street, ,Charlotte,Truist Financial,336-733-2000,United States,"55,000",Banks—Regional,Financial Services,NC,TFC,http://www.truist.com,28202
3003 Tasman Drive, ,Santa Clara,SVB Financial,408-654-7400,United States,"4,336",Banks—Regional,Financial Services,CA,SIVB,http://www.svb.com,95054-1191
One Citizens Plaza, ,Providence,Citizens Financial Group,401-456-7000,United States,"17,930",Banks—Regional,Financial Services,RI,CFG,http://www.citizensbank.com,02903
The Tower at PNC Plaza,300 Fifth Avenue,Pittsburgh,PNC Financial Services,888-762-2265,United States,"49,805",Banks—Regional,Financial Services,PA,PNC,http://www.pnc.com,15222-2401
1900 Fifth Avenue North, ,Birmingham,Regions Financial Corp.,800-734-4667,United States,"19,766",Banks—Regional,Financial Services,AL,RF,http://www.regions.com,35203
130 Royall Street, ,Canton,M&T Bank Corp.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,MTB,http://www.dunkinbrands.com,02021
One South Main Street, ,Salt Lake City,Zions Bancorp,801-844-7637,United States,"9,726",Banks—Regional,Financial Services,UT,ZION,http://www.zionsbancorporation.com,84133-1109
111 Pine Street,2nd Floor,San Francisco,First Republic Bank,415-392-1400,United States,"4,812",Banks—Regional,Financial Services,CA,FRC,http://www.firstrepublic.com,94111
Fifth Third Center,38 Fountain Square Plaza,Cincinnati,Fifth Third Bancorp,800-972-3030,United States,"20,283",Banks—Regional,Financial Services,OH,FITB,http://www.53.com,45263
"1550 Peachtree Street, NW", ,Atlanta,Equifax Inc.,404-885-8000,United States,"11,000",Consulting Services,Industrials,GA,EFX,http://www.equifax.com,30309
545 Washington Boulevard, ,Jersey City,Verisk Analytics,201-469-3000,United States,"9,060",Consulting Services,Industrials,NJ,VRSK,http://www.verisk.com,07310-1686
675 Avenue of the Americas, ,New York,Nielsen Holdings,646-654-5000,United States,"46,000",Consulting Services,Industrials,NY,NLSN,http://www.nielsen.com,10010
130 Royall Street, ,Canton,IHS Markit Ltd.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,INFO,http://www.dunkinbrands.com,02021
Two North Riverside Plaza,Suite 400,Chicago,Equity Residential,312-474-1300,United States,"2,600",REIT—Residential,Real Estate,IL,EQR,http://www.equityapartments.com,60606
1100 Park Place,Suite 200,San Mateo,"Essex Property Trust, Inc.",650-655-7800,United States,"1,822",REIT—Residential,Real Estate,CA,ESS,http://www.essexapartmenthomes.com,94403
4040 Wilson Boulevard,Suite 1000,Arlington,AvalonBay Communities,703-329-6300,United States,"3,122",REIT—Residential,Real Estate,VA,AVB,http://www.avalonbay.com,22203
1745 Shea Center Drive,Suite 200,Highlands Ranch,"UDR, Inc.",720-283-6120,United States,"1,330",REIT—Residential,Real Estate,CO,UDR,http://www.udr.com,80129
4582 South Ulster Street,Suite 1700,Denver,Apartment Investment & Management,303-757-8101,United States,950,REIT—Residential,Real Estate,CO,AIV,http://www.aimco.com,80237
130 Royall Street, ,Canton,Mid-America Apartments,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,MAA,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Starbucks Corp.,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,SBUX,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Domino's Pizza,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,DPZ,http://www.dunkinbrands.com,02021
1000 Darden Center Drive, ,Orlando,Darden Restaurants,407 245 4000,United States,"177,895",Restaurants,Consumer Cyclical,FL,DRI,http://www.darden.com,32837
610 Newport Center Drive,Suite 1300,Newport Beach,Chipotle Mexican Grill,949 524 4000,United States,"94,000",Restaurants,Consumer Cyclical,CA,CMG,http://www.chipotle.com,92660
130 Royall Street, ,Canton,Yum! Brands Inc,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,YUM,http://www.dunkinbrands.com,02021
110 North Carpenter Street, ,Chicago,McDonald's Corp.,630 623 3000,United States,"205,000",Restaurants,Consumer Cyclical,IL,MCD,http://corporate.mcdonalds.com,60607
11995 El Camino Real, ,San Diego,Realty Income Corporation,858-284-5000,United States,201,REIT—Retail,Real Estate,CA,O,http://www.realtyincome.com,92130
1626 East Jefferson Street, ,Rockville,Federal Realty Investment Trust,301-998-8100,United States,308,REIT—Retail,Real Estate,MD,FRT,http://www.federalrealty.com,20852
130 Royall Street, ,Canton,Kimco Realty,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,KIM,http://www.dunkinbrands.com,02021
One Independent Drive,Suite 114,Jacksonville,Regency Centers Corporation,904-598-7000,United States,450,REIT—Retail,Real Estate,FL,REG,http://www.regencycenters.com,32202
225 West Washington Street, ,Indianapolis,Simon Property Group Inc,317-636-1600,United States,"3,500",REIT—Retail,Real Estate,IN,SPG,http://www.simon.com,46204
4650 Cushing Parkway, ,Fremont,Lam Research,510 572 0200,United States,"11,300",Semiconductor Equipment & Materials,Technology,CA,LRCX,http://www.lamresearch.com,94538
130 Royall Street, ,Canton,Teradyne,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,TER,http://www.dunkinbrands.com,02021
3050 Bowers Avenue,PO Box 58039,Santa Clara,Applied Materials Inc.,408 727 5555,United States,"23,600",Semiconductor Equipment & Materials,Technology,CA,AMAT,http://www.appliedmaterials.com,95052
One Technology Drive, ,Milpitas,KLA Corporation,408 875 3000,United States,"10,600",Semiconductor Equipment & Materials,Technology,CA,KLAC,http://www.kla.com,95035
160 Rio Robles, ,San Jose,Maxim Integrated Products Inc,408 601 1000,United States,"7,115",Semiconductors,Technology,CA,MXIM,http://www.maximintegrated.com,95134
One Technology Way,PO Box 9106,Norwood,"Analog Devices, Inc.",781 329 4700,United States,"16,400",Semiconductors,Technology,MA,ADI,http://www.analog.com,02062
2355 West Chandler Boulevard, ,Chandler,Microchip Technology,480 792 7200,United States,"18,000",Semiconductors,Technology,AZ,MCHP,http://www.microchip.com,85224-6199
8000 South Federal Way, ,Boise,Micron Technology,208 368 4000,United States,"40,000",Semiconductors,Technology,ID,MU,http://www.micron.com,83716-9632
5221 California Avenue, ,Irvine,Skyworks Solutions,949-231-3000,United States,"9,000",Semiconductors,Technology,CA,SWKS,http://www.skyworksinc.com,92617
12500 TI Boulevard, ,Dallas,Texas Instruments,214 479 3773,United States,"29,768",Semiconductors,Technology,TX,TXN,http://www.ti.com,75243
2788 San Tomas Expressway, ,Santa Clara,Nvidia Corporation,408 486 2000,United States,"13,775",Semiconductors,Technology,CA,NVDA,http://www.nvidia.com,95051
1320 Ridder Park Drive, ,San Jose,Broadcom Inc.,408 433 8000,United States,"19,000",Semiconductors,Technology,CA,AVGO,http://www.broadcom.com,95131
130 Royall Street, ,Canton,Advanced Micro Devices Inc,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,AMD,http://www.dunkinbrands.com,02021
2100 Logic Drive, ,San Jose,Xilinx,408 559 7778,United States,"4,891",Semiconductors,Technology,CA,XLNX,http://www.xilinx.com,95124
5775 Morehouse Drive, ,Washington,QUALCOMM Inc.,858 587 1121,United States,"37,000",Semiconductors,Technology,DC,QCOM,http://www.qualcomm.com,20006
2200 Mission College Boulevard, ,Santa Clara,Intel Corp.,408 765 8080,United States,"111,300",Semiconductors,Technology,CA,INTC,http://www.intel.com,95054-1549
130 Royall Street, ,Canton,Qorvo,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,QRVO,http://www.dunkinbrands.com,02021
700 Anderson Hill Road, ,Purchase,PepsiCo Inc.,914 253 2000,United States,"267,000",Beverages—Non-Alcoholic,Consumer Defensive,NY,PEP,http://www.pepsico.com,10577
One Coca-Cola Plaza, ,Atlanta,Coca-Cola Company,404 676 2121,United States,"86,200",Beverages—Non-Alcoholic,Consumer Defensive,GA,KO,http://www.coca-colacompany.com,30301
130 Royall Street, ,Canton,Monster Beverage,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,MNST,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Public Storage,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,PSA,http://www.dunkinbrands.com,02021
Four Embarcadero Center,Suite 3200,San Francisco,Digital Realty Trust Inc,415-738-6500,United States,"1,550",REIT—Office,Real Estate,CA,DLR,http://www.digitalrealty.com,94111
2795 East Cottonwood Parkway,Suite 300,Salt Lake City,Extra Space Storage,801-365-4600,United States,"4,048",REIT—Industrial,Real Estate,UT,EXR,http://www.extraspace.com,84121
130 Royall Street, ,Canton,Iron Mountain Incorporated,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,IRM,http://www.dunkinbrands.com,02021
220 Occidental Avenue South, ,Seattle,Weyerhaeuser,206-539-3000,United States,"9,400",REIT—Specialty,Real Estate,WA,WY,http://www.weyerhaeuser.com,98104
130 Royall Street, ,Canton,SBA Communications,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,SBAC,http://www.dunkinbrands.com,02021
1220 Augusta Drive,Suite 600,Houston,Crown Castle International Corp.,713-570-3000,United States,"5,100",REIT—Specialty,Real Estate,TX,CCI,http://www.crowncastle.com,77057-2261
116 Huntington Avenue,11th Floor,Boston,American Tower Corp.,617-375-7500,United States,"5,454",REIT—Specialty,Real Estate,MA,AMT,http://www.americantower.com,02116
One Lagoon Drive, ,Redwood City,Equinix,650-598-6000,United States,"9,181",REIT—Specialty,Real Estate,CA,EQIX,http://www.equinix.com,94065
222 West Las Colinas Boulevard,Suite 900N,Irving,Celanese,972 443 4000,United States,"7,700",Chemicals,Basic Materials,TX,CE,http://www.celanese.com,75039
521 West 57th Street, ,New York,International Flavors & Fragrances,212 765 5500,United States,"13,668",Specialty Chemicals,Basic Materials,NY,IFF,http://www.iff.com,10019
4250 Congress Street,Suite 900,Charlotte,Albemarle Corp,980-299-5700,United States,"6,000",Specialty Chemicals,Basic Materials,NC,ALB,http://www.albemarle.com,28209
One PPG Place, ,Pittsburgh,PPG Industries,412-434-3131,United States,"47,000",Specialty Chemicals,Basic Materials,PA,PPG,http://www.ppg.com,15272
974 Centre Road,Building 730,Wilmington,DuPont de Nemours Inc,302 774 1000,United States,"35,000",Chemicals,Basic Materials,DE,DD,http://www.dupont.com,19805
1221 McKinney Street,Suite 300,Houston,LyondellBasell,713 309 7200,United States,"19,100",Specialty Chemicals,Basic Materials,TX,LYB,http://www.lyondellbasell.com,77010
1 Ecolab Place, ,Saint Paul,Ecolab Inc.,800 232 6522,United States,"45,000",Specialty Chemicals,Basic Materials,MN,ECL,http://www.ecolab.com,55102-2233
130 Royall Street, ,Canton,Sherwin-Williams,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,SHW,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Tractor Supply Company,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,TSCO,http://www.dunkinbrands.com,02021
12800 Tuckahoe Creek Parkway, ,Richmond,Carmax Inc,804 747 0422,United States,"25,000",Auto & Truck Dealerships,Consumer Cyclical,VA,KMX,http://www.carmax.com,23238
130 Royall Street, ,Canton,AutoZone Inc,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,AZO,http://www.dunkinbrands.com,02021
233 South Patterson Avenue, ,Springfield,O'Reilly Automotive,417 862 6708,United States,"72,877",Specialty Retail,Consumer Cyclical,MO,ORLY,http://www.oreillyauto.com,65802
2999 Wildwood Parkway, ,Atlanta,Genuine Parts,678 934 5000,United States,"55,000",Specialty Retail,Consumer Cyclical,GA,GPC,http://www.genpt.com,30339
130 Royall Street, ,Canton,Ulta Beauty,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,ULTA,http://www.dunkinbrands.com,02021
1915 Rexford Road, ,Charlotte,Nucor Corp.,704 366 7000,United States,"26,800",Steel,Basic Materials,NC,NUE,http://www.nucor.com,28211
899 Kifer Road, ,Sunnyvale,Fortinet,408-235-7700,United States,"7,756",Software—Infrastructure,Technology,CA,FTNT,http://www.fortinet.com,94086
One Microsoft Way, ,Redmond,Microsoft Corp.,425-882-8080,United States,"163,000",Software—Infrastructure,Technology,WA,MSFT,http://www.microsoft.com,98052-6399
2225 Lawson Lane, ,Santa Clara,ServiceNow,408-501-8550,United States,"11,901",Software—Application,Technology,CA,NOW,http://www.servicenow.com,95054
130 Royall Street, ,Canton,CDW,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,CDW,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Western Digital,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,WDC,http://www.dunkinbrands.com,02021
1501 Page Mill Road, ,Palo Alto,HP Inc.,650 857 1501,United States,"56,000",Computer Hardware,Technology,CA,HPQ,http://www.hp.com,94304
1395 Crossman Avenue, ,Sunnyvale,NetApp,408 822 6000,United States,"10,800",Computer Hardware,Technology,CA,NTAP,http://www.netapp.com,94089
130 Royall Street, ,Canton,Seagate Technology,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,STX,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,Hewlett Packard Enterprise,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,HPE,http://www.dunkinbrands.com,02021
One Apple Park Way, ,Cupertino,Apple Inc.,408-996-1010,United States,"137,000",Consumer Electronics,Technology,CA,AAPL,http://www.apple.com,95014
201 Merritt 7,PO Box 4505,Norwalk,Xerox,203 968 3000,United States,"26,100",Information Technology Services,Technology,CT,XRX,http://www.xerox.com,06851-1056
850 Main Street, ,Bridgeport,People's United Financial,203-338-7171,United States,"6,110",Banks—Regional,Financial Services,CT,PBCT,http://www.peoples.com,06604
6601 West Broad Street, ,Richmond,Altria Group Inc,804 274 2200,United States,"7,300",Tobacco,Consumer Defensive,VA,MO,http://www.altria.com,23230
120 Park Avenue, ,New York,Philip Morris International,917 663 2000,United States,"73,500",Tobacco,Consumer Defensive,NY,PM,http://www.pmi.com,10017
100 First Stamford Place,Suite 700,Stamford,"United Rentals, Inc.",203 622 3131,United States,"19,100",Rental & Leasing Services,Industrials,CT,URI,http://www.unitedrentals.com,06902
130 Royall Street, ,Canton,Old Dominion Freight Line,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,ODFL,http://www.dunkinbrands.com,02021
130 Royall Street, ,Canton,J. B. Hunt Transport Services,781 737 3000,United States,"1,114",Restaurants,Consumer Cyclical,MA,JBHT,http://www.dunkinbrands.com,02021
1 Water Street, ,Camden,American Water Works Company Inc,856 955 4001,United States,"6,800",Utilities—Regulated Water,Utilities,NJ,AWK,http://www.amwater.com,08102-1658
12920 SE 38th Street, ,Bellevue,T-Mobile US,425-378-4000,United States,"53,000",Telecom Services,Communication Services,WA,TMUS,http://www.t-mobile.com,98006-1350
5 Hanover Quay,Grand Canal Dock,,Aptiv PLC,353 1 259 7013,Ireland,"141,000",Auto Parts,Consumer Cyclical,,APTV,http://www.aptiv.com,
Iveagh Court,Block D Harcourt Road,,Allegion,353 1 254 6200,Ireland,"11,000",Security & Protection Services,Industrials,,ALLE,http://www.allegion.com,
Eaton House,30 Pembroke Road,,Eaton Corporation,353 1 637 2900,Ireland,"93,000",Specialty Industrial Machinery,Industrials,,ETN,http://www.eaton.com,
The Priestley Centre,10 Priestley Road Surrey Research Park,,Linde plc,44 14 8324 2200,United Kingdom,"76,662",Specialty Chemicals,Basic Materials,,LIN,http://www.linde.com,
The Leadenhall Building,The Aon Centre 122 Leadenhall Street,,Aon plc,44 20 7623 5500,United Kingdom,"50,000",Insurance Brokers,Financial Services,,AON,http://www.aon.com,
The Sharp Building,Hogan Place,,Perrigo,353 1 709 4000,Ireland,"11,200",Drug Manufacturers—Specialty & Generic,Healthcare,,PRGO,http://www.perrigo.com,
Seon Place,4th Floor 141 Front Street PO Box HM 845,,Everest Re Group Ltd.,441-295-0006,Bermuda,"1,603",Insurance—Reinsurance,Financial Services,,RE,http://www.everestre.com,
